Valeur;Nom;Description;Note;Technical message
"0xA0040200";"E_CREATECONNECTIONFAILED";"DbManager, CreateConnection: Connection could not be created! Look at detailed log for details";"";""
"0xA0040201";"E_BEGINTRANSACTIONFAILED";"Transaction couldn't be started. See log file for details";"";""
"0xA0040202";"E_COMMITTRANSACTIONFAILED";"Transaction couldn't be commited See log file for details";"";""
"0xA0040203";"E_ROLLBACKTRANSACTIONFAILED";"Transaction couldn't be rolled back. See log file for details";"Message mis dans la méthode RollbackTransaction";""
"0xA0040204";"E_EXECUTEREADERFAILED";"Error during execution of an SQL query (ExecuteReader). See log file for details.";"";""
"0xA0040205";"E_CREATEDATAADAPTERFAILED";"DbHelper, DataAdapter: data adapter could not be created. See log file for details";"";""
"0xA0040206";"E_COLUMNDOESNOTEXIST";"Column doesn't exist in sql data reader, See log file for details";"";""
"0xA0040207";"E_NOROWUPDATED";"Query didn't update any row";"";""
"0xA0040208";"E_EXECUTESCALARFAILED";"Error during execution of an SQL query (ExecuteScalar). See log file for details.";"";""
"0xA0040209";"E_EXECUTENONQUERYFAILED";"Error during execution of an SQL query (ExecuteNonQuery). See log file for details.";"";""
"0xA0040210";"E_FILLDATASETFAILED";"Error during execution of an SQL query (Fill DataSet). See log file for details.";"";""
"0xA0040300";"E_LASTINSERTIDNOTNUMBER";"Returned last insert ID value could not be parsed to Long number";"";""
"0xA0040301";"E_TYPENOTDEFINEDBMAPPINGATTRIBUTE";"[XML] This C# class doesn't define DatabaseMapping attribute (at class level)";"";""
"0xA0040302";"E_TYPEDEFINESDBMAPPINGATTRIBUTEMOREONETIME";"[XML] This C# class defines DatabaseMapping attribute more than once (at class level)";"";""
"0xA0040303";"E_TYPEDEFINESEMPTYDBMAPPINGATTRIBUTE";"[XML] This C# class defines an empty DatabaseMapping attribute (at class level)";"";""
"0xA0040304";"E_XMLVALIDATIONERRORS";"[XML] XML validation errors";"";""
"0xA0040305";"E_NAMESPACESSCHEMASCOUNTMISMATCH";"[XML] Not same number of namespaces and schemas given";"";""
"0xA0040306";"E_NONAMESPACEINSCHEMA";"[XML] Schema given but no namespaces";"";""
"0xA0040307";"E_NULLVALUE";"[] value_ cannot be null";"";""
"0xA0040308";"E_NORULESFORGIVENPARAMETER";"[] No matching rules for given parameter. See log file for details";"";""
"0xA0040309";"E_XMLNAMEATTRIBUTEMORETHANONCE";"[XML] Invalid XML, ""name"" attribute defines more than once the same value (template name in templates file)";"";""
"0xA0040310";"E_NOACTIVECONNECTIONDEFINED";"[CONF] No active connection name defined in appSettings ('activeDbConnection')";"";""
"0xA0040311";"E_NOACTIVECONNECTIONFOUND";"[CONF] Active connection not found in available connection strings";"";""
"0xA0040312";"E_PROVIDERCONFIGMISSING";"[CONF] Provider configuration missing in orm:ProviderSpecific section of XML templates file";"";""
"0xA0040313";"E_NOPROVIDERNAMEFORCONNECTIONNAME";"[CONF] No provider name defined in connection strings configuration for active connection";"";""
"0xA0040314";"E_PROVIDERNOTINSTALLED";"[CONF] Provider defined is not installed";"";""
"0xA0040315";"E_NOCONNEXIONSTRINGDEFINED";"[CONF] No connection string value defined in connection strings configuration for active connection";"";""
"0xA0040316";"E_NOMAPPINGKEYANDCOLUMN";"[CONF] No match in mapping file for table name and column values";"";""
"0xA0040317";"E_NOMAPPINGKEY";"[CONF] No match in mapping file for table name";"";""
"0xA0040318";"E_CONFIGFILENOTFOUND";"[CONF] Configuration file not found";"";""
"0xA0040319";"E_NOMAPPINGKEYANDPROPERTY";"[CONF] No match in mapping file for table name and property values";"";""
"0xA0040320";"E_DBMANAGERNOCONNECTIONSTRINGSET";"[CONF] No connection string has been set to DbManager before using it";"";""
"0xA0040321";"E_DBMANAGERNOSELECTLASTINSERTIDCOMMANDSET";"[CONF] No SQL text for select last inserted ID has been set to DbManager before executing an insert command";"";""
"0xA0040322";"E_DBMANAGERNOPROVIDERNAME";"[CONF] No provider name has been set to DbManager before using it";"";""
